No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 227, 227);25.507233254984833;1.5098868000000003;0.0;0.0;2.516478;1.5098868000000003;22.990755254984833;0.0
2;Conv2d: 2-1;[1, 64, 113, 113];14.451416;8.245421665062919;1.1492099999999998;0.26409806506292;13.302206;7.9813236;0;0
3;ReLU: 2-2;[1, 64, 113, 113];14.451416;8.245421665062919;1.1492099999999998;0.26409806506292;13.302206;7.9813236;0;0
4;MaxPool2d: 2-3;[1, 64, 56, 56];4.4162479999999995;2.22432086506292;1.1492099999999998;0.26409806506292;3.267038;1.9602228;0;0
5;Fire: 2-4;[1, 128, 56, 56];9.690296;4.47361190431924;3.15625;0.5531843043192399;6.534046;3.9204276;0;0
6;Fire: 2-5;[1, 128, 56, 56];11.948216;4.82749266537012;5.41417;0.9070650653701199;6.534046;3.9204276;0;0
7;MaxPool2d: 2-6;[1, 128, 28, 28];16.54180757599845;1.8871854653701199;5.41417;0.9070650653701199;1.633534;0.9801204;9.494103575998452;0.0
8;Fire: 2-7;[1, 256, 28, 28];10.688248000000002;3.25312967662388;7.421210000000001;1.2929068766238798;3.267038;1.9602228;0;0
9;Fire: 2-8;[1, 256, 28, 28];12.946168;3.6871168091755595;9.67913;1.7268940091755596;3.267038;1.9602228;0;0
10;MaxPool2d: 2-9;[1, 256, 14, 14];17.88332847801362;2.21696320917556;9.67913;1.7268940091755596;0.816782;0.49006920000000004;7.38741647801362;0.0
11;Fire: 2-10;[1, 384, 14, 14];16.25816380896045;2.6101266658776394;10.288410000000002;1.8749694658776397;1.2252619999999999;0.7351571999999998;4.744491808960447;0.0
12;Fire: 2-11;[1, 384, 14, 14];16.787349349002223;2.7687384934469192;10.933530000000003;2.0335812934469195;1.2252619999999999;0.7351571999999998;4.628557349002222;0.0
13;Fire: 2-12;[1, 512, 14, 14];16.78282500501965;3.2720885921886795;12.080410000000002;2.2919681921886794;1.633534;0.9801204;3.068881005019648;0.0
14;Fire: 2-13;[1, 512, 14, 14];18.58046295299811;3.5473706457669194;13.370650000000003;2.5672502457669193;1.633534;0.9801204;3.576278952998109;0.0
15;Conv2d: 2-15;[1, 1000, 14, 14];20.145176000000003;5.373329997752519;16.954650000000004;3.459014397752519;3.1905259999999998;1.9143156;0;0
16;ReLU: 2-16;[1, 1000, 14, 14];20.145176000000003;5.373329997752519;16.954650000000004;3.459014397752519;3.1905259999999998;1.9143156;0;0
17;AdaptiveAvgPool2d: 2-17;[1, 1000, 1, 1];16.975787568989077;3.4688819977525194;16.954650000000004;3.459014397752519;0.016446000000000002;0.0098676;0.004691568989073858;0.0
