No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);107.95643815767176;1.4701716;0.0;0.0;2.450286;1.4701716;105.50615215767175;0.0
2;Conv2d: 2-1;[1, 64, 112, 112];14.297166;8.418407320447528;1.229312;0.5776949204475289;13.067854;7.8407124;0;0
3;BatchNorm2d: 2-2;[1, 64, 112, 112];14.297166;8.418407320447528;1.229312;0.5776949204475289;13.067854;7.8407124;0;0
4;ReLU: 2-3;[1, 64, 112, 112];14.297166;8.418407320447528;1.229312;0.5776949204475289;13.067854;7.8407124;0;0
5;MaxPool2d: 2-4;[1, 64, 56, 56];107.56992987761498;2.537917720447529;1.229312;0.5776949204475289;3.267038;1.9602228;103.07357987761497;0.0
6;Bottleneck: 3-1;[1, 256, 56, 56];16.103502;9.629012161102949;3.035648;1.7882997611029483;13.067854;7.8407124;0;0
7;Bottleneck: 3-2;[1, 256, 56, 56];17.809486;10.791116519425886;4.741632;2.9504041194258863;13.067854;7.8407124;0;0
8;Bottleneck: 3-3;[1, 256, 56, 56];19.51547;11.953220877748823;6.447616;4.112508477748824;13.067854;7.8407124;0;0
9;Bottleneck: 3-4;[1, 512, 28, 28];108.75867360883474;10.31577309914534;9.357824;6.395345499145339;6.534046;3.9204276;92.86680360883474;0.0
10;Bottleneck: 3-5;[1, 512, 28, 28];108.51475232694828;11.493414823393724;11.063808000000002;7.572987223393723;6.534046;3.9204276;90.91689832694829;0.0
11;Bottleneck: 3-6;[1, 512, 28, 28];109.29999052856165;12.67105654764211;12.769792000000002;8.75062894764211;6.534046;3.9204276;89.99615252856165;0.0
12;Bottleneck: 3-7;[1, 512, 28, 28];108.44690819195968;13.848698271890495;14.475776000000003;9.928270671890495;6.534046;3.9204276;87.43708619195968;0.0
13;Bottleneck: 3-8;[1, 1024, 28, 28];36.776014;24.56099233547462;23.708160000000003;16.72027993547462;13.067854;7.8407124;0;0
14;Bottleneck: 3-9;[1, 1024, 28, 28];43.59995000000001;29.45238975606496;30.532096000000003;21.61167735606496;13.067854;7.8407124;0;0
15;Bottleneck: 3-10;[1, 1024, 28, 28];50.423885999999996;34.3437871766553;37.356032;26.503074776655296;13.067854;7.8407124;0;0
16;Bottleneck: 3-11;[1, 1024, 28, 28];57.247822;39.235184597245635;44.179968;31.394472197245634;13.067854;7.8407124;0;0
17;Bottleneck: 3-12;[1, 1024, 28, 28];64.071758;44.12658201783597;51.003904000000006;36.28586961783597;13.067854;7.8407124;0;0
18;Bottleneck: 3-13;[1, 1024, 28, 28];70.895694;49.01797943842631;57.82784000000001;41.17726703842631;13.067854;7.8407124;0;0
19;Bottleneck: 3-14;[1, 2048, 28, 28];120.892846;84.18912071755128;94.75737600000001;68.50783871755128;26.13547;15.681282000000001;0;0
20;Bottleneck: 3-15;[1, 2048, 28, 28];148.18859;103.41512609348064;122.05312;87.73384409348064;26.13547;15.681282000000001;0;0
21;Bottleneck: 3-16;[1, 2048, 28, 28];175.484334;122.64113146941;149.348864;106.95984946941;26.13547;15.681282000000001;0;0
22;Conv2d: 2-9;[1, 512, 28, 28];214.02150666297177;143.72716659735812;207.151616;139.8067389973581;6.534046;3.9204276;0.3358446629717946;0.0
23;BatchNorm2d: 2-10;[1, 512, 28, 28];213.96332460690985;143.72716659735812;207.151616;139.8067389973581;6.534046;3.9204276;0.2776626069098711;0.0
24;ReLU: 2-11;[1, 512, 28, 28];213.93156391990135;143.72716659735812;207.151616;139.8067389973581;6.534046;3.9204276;0.245901919901371;0.0
25;Conv2d: 2-13;[1, 21, 28, 28];207.51198889646315;140.06695896407754;207.23942399999999;139.90614096407754;0.26803;0.160818;0.0045348964631557465;0.0
